,Word,Frequency
404,veggie,1682
405,waiter,1682
406,deep,1678
407,front,1677
408,start,1665
409,worst,1656
410,able,1644
411,stick,1641
412,thick,1637
413,line,1636
414,yes,1634
415,tonight,1615
416,soon,1615
417,plus,1608
418,weve,1607
419,walk,1590
420,reasonable,1587
421,slow,1584
422,reservation,1578
423,felt,1578
424,quickly,1574
425,oil,1572
426,eaten,1569
427,variety,1560
428,month,1558
429,mean,1557
430,driver,1555
431,patio,1547
432,plenty,1543
433,havent,1527
434,deliver,1521
435,add,1515
436,issue,1510
437,impressed,1507
438,given,1506
439,counter,1495
440,type,1488
441,min,1471
442,heard,1470
443,sitting,1466
444,cream,1465
445,yelp,1461
446,box,1458
447,flavorful,1452
448,leave,1451
449,bland,1448
450,sunday,1447
451,fact,1445
452,dry,1435
453,course,1432
454,city,1431
455,simple,1424
456,ended,1420
457,space,1419
458,roll,1417
459,card,1411
460,serve,1411
461,unique,1409
462,seem,1408
463,twice,1399
464,horrible,1395
465,four,1394
466,tip,1394
467,priced,1391
468,weekend,1382
469,received,1378
470,working,1375
471,anyone,1374
472,ranch,1370
473,sometimes,1365
474,neighborhood,1358
475,complaint,1344
476,rather,1342
477,entire,1338
478,drive,1321
479,believe,1320
480,needed,1320
481,change,1312
482,bottle,1303
483,guess,1299
484,shrimp,1291
485,bill,1290
486,recently,1289
487,seat,1283
488,hungry,1279
489,establishment,1279
490,decor,1278
491,soggy,1277
492,hit,1276
493,saw,1274
494,expensive,1269
495,yummy,1268
496,parmesan,1267
497,girl,1266
498,cook,1264
499,already,1263
500,others,1262
501,chicago,1261
502,life,1254
503,spinach,1251
504,downtown,1250
505,surprised,1241
506,job,1239
507,opened,1238
508,authentic,1235
509,completely,1232
510,baked,1231
511,run,1229
512,date,1227
513,show,1226
514,trip,1225
515,solid,1219
516,medium,1219
517,burnt,1218
518,expected,1216
519,specialty,1215
520,stuffed,1215
521,choose,1214
522,mind,1210
523,beef,1210
524,offered,1205
525,helpful,1200
526,youll,1198
527,glad,1197
528,hope,1194
529,floor,1183
530,fish,1180
531,gone,1180
532,poor,1176
533,easy,1174
534,egg,1165
535,added,1164
536,ice,1161
537,vegan,1161
538,near,1160
539,split,1160
540,honestly,1159
541,plain,1158
542,boyfriend,1153
543,gluten,1151
544,soft,1148
545,coupon,1147
546,five,1146
547,taking,1146
548,please,1144
549,calzone,1144
550,chef,1140
551,takeout,1140
552,help,1134
553,brunch,1127
554,remember,1125
555,werent,1123
556,understand,1122
557,pleasant,1118
558,unfortunately,1118
559,man,1118
560,chewy,1117
561,breadstick,1116
562,cheesy,1115
563,marinara,1115
564,literally,1114
565,italy,1113
566,standard,1108
567,world,1108
568,loud,1107
569,packed,1105
570,lettuce,1103
571,hostess,1098
572,hoagy,1097
573,rest,1095
574,wood,1094
575,together,1092
576,cake,1091
577,slightly,1091
578,prepared,1091
579,seriously,1091
580,music,1090
581,available,1084
582,spaghetti,1084
583,breakfast,1081
584,along,1081
585,placed,1081
586,longer,1080
587,giving,1079
588,pork,1078
589,charge,1077
590,saying,1076
591,across,1075
592,short,1074
593,thank,1074
594,bbq,1070
595,chance,1068
596,behind,1059
597,paid,1059
598,main,1052
599,number,1051
600,cocktail,1050
601,parm,1048
602,cost,1047
603,pricey,1042
604,moved,1041
605,generous,1041
606,hut,1039
607,birthday,1038
608,crisp,1037
609,grab,1035
610,basil,1032
611,stuff,1021
612,outstanding,1021
613,chip,1015
614,wow,1005
615,lasagna,1004
616,totally,1003
617,forward,1002
618,traditional,1000
619,early,998
620,tap,997
621,gyro,997
622,credit,996
623,recommended,996
624,etc,993
625,cash,993
626,french,993
627,hill,991
628,bottom,991
629,due,989
630,sorry,985
631,gelato,984
632,disappointing,980
633,set,974
634,butter,973
635,empty,973
636,ton,972
637,frozen,971
638,awful,960
639,truly,959
640,visiting,951
641,eggplant,950
642,mac,949
643,share,949
644,crowded,949
645,ambiance,945
646,watch,945
647,thanks,944
648,wall,939
649,arent,939
650,casual,938
651,kept,936
652,summer,935
653,immediately,934
654,based,934
655,black,931
656,gnocchi,930
657,anywhere,929
658,serving,928
659,including,928
660,ravioli,928
661,excited,927
662,pesto,923
663,grilled,922
664,son,921
665,miss,920
666,certainly,917
667,vegetarian,916
668,daughter,916
669,incredible,913
670,tender,913
671,seen,912
672,simply,909
673,papa,908
674,margherita,906
675,picked,904
676,ball,903
677,mediocre,898
678,taco,896
679,within,895
680,personal,893
681,gem,892
682,app,892
683,lady,888
684,sign,887
685,salty,885
686,lived,884
687,beautiful,883
688,exactly,880
689,knew,874
690,roasted,872
691,hold,871
692,dollar,871
693,opinion,869
694,mom,869
695,cozy,868
696,overpriced,866
697,ahead,865
698,stay,859
699,square,858
700,basically,856
701,chocolate,855
702,interesting,853
703,shared,853
704,outdoor,851
705,park,849
706,event,849
707,walking,847
708,head,845
709,mistake,845
710,middle,845
711,york,843
712,word,843
713,note,841
714,gotten,837
715,bowl,834
716,upon,834
717,easily,834
718,vibe,833
719,idea,833
720,typical,832
721,forgot,832
722,leftover,828
723,noticed,827
724,dog,826
725,addition,826
726,window,823
727,crowd,821
728,tasting,821
729,visited,819
730,fairly,817
731,talk,815
732,taken,814
733,filling,814
734,strip,813
735,clearly,810
736,yum,809
737,ohio,804
738,school,802
739,classic,802
740,young,800
741,read,800
742,management,799
743,cup,798
744,dip,798
745,boy,798
746,tv,796
747,building,796
748,multiple,796
749,pizzeria,796
750,closed,792
751,changed,790
752,mine,788
753,craving,786
754,treat,786
755,level,786
756,draft,784
757,barely,784
758,wedding,784
759,sort,783
760,brick,783
761,true,782
762,mouth,780
763,buy,779
764,prefer,778
765,greeted,776
766,woman,775
767,original,771
768,plan,769
769,coffee,769
770,fair,767
771,die,765
772,rating,764
773,fired,764
774,happened,763
775,finish,763
776,pm,760
777,mixed,760
778,stand,758
779,write,752
780,domino,750
781,mention,749
782,beat,742
783,ny,740
784,dirty,738
785,combination,735
786,lack,734
787,single,734
788,alfredo,730
789,car,730
790,mostly,725
791,crunchy,722
792,perfection,721
793,ricotta,719
794,hear,717
795,unless,710
796,soda,708
797,attitude,708
798,returning,707
799,somewhere,706
800,hotel,704
801,filled,702
802,tiny,701
803,college,701
804,value,700
805,turned,699
806,talking,697
807,booth,696
808,missing,695
809,seasoned,695
810,mix,694
811,future,694
812,finished,694
813,anyway,693
814,normally,689
815,question,688
816,dine,687
817,calamari,686
818,picture,686
819,sad,686
820,feeling,684
821,carry,684
822,low,683
823,rib,682
824,guest,681
825,ians,681
826,consistently,680
827,case,680
828,corner,679
829,obviously,678
830,except,677
831,incredibly,677
832,recommendation,676
833,weird,675
834,whatever,675
835,crazy,674
836,chose,673
837,paying,671
838,craft,671
839,sicilian,670
840,hate,670
841,arugula,669
842,vegetable,669
843,worked,668
844,total,666
845,topped,664
846,salt,664
847,angelos,663
848,buck,662
849,shot,659
850,pan,657
851,byob,655
852,garden,654
853,limited,652
854,john,652
855,dipping,650
856,margarita,648
857,turn,648
858,located,647
859,fabulous,646
860,cute,646
861,comfortable,646
862,update,645
863,south,644
864,afternoon,644
865,matter,643
866,website,643
867,artichoke,643
868,reasonably,642
869,texture,642
870,forget,642
871,monday,641
872,touch,641
873,seafood,641
874,save,639
875,calzones,639
876,charged,638
877,asking,637
878,beyond,633
879,creamy,631
880,salmon,631
881,accommodating,630
882,prosciutto,629
883,supposed,629
884,view,629
885,checked,628
886,basic,628
887,fancy,628
888,correct,626
889,caesar,626
890,pickup,625
891,showed,625
892,grease,625
893,attention,625
894,bean,624
895,arrive,621
896,expecting,620
897,none,619
898,offering,617
899,product,617
900,covered,616
901,expectation,614
902,heavy,614
903,occasion,613
904,east,613
905,perhaps,612
906,apparently,611
907,refill,611
908,usual,610
909,theyve,608
910,normal,607
911,goto,607
912,despite,607
913,mile,607
914,lemon,606
915,spice,606
916,honey,605
917,center,604
918,considering,603
919,fall,603
920,veal,602
921,folk,601
922,edge,601
923,conversation,601
924,phenomenal,600
925,crab,599
926,speak,598
927,child,597
928,avoid,597
929,suggest,596
930,otherwise,593
931,thinking,588
932,smell,587
933,lost,586
934,appreciate,586
935,mineos,586
936,girlfriend,585
937,refund,585
938,state,585
939,sound,585
940,complain,585
941,answer,584
942,negative,582
943,nearly,581
944,patron,581
945,loaded,581
946,dark,579
947,spend,579
948,eye,579
949,waste,578
950,personally,577
951,nearby,577
952,worker,577
953,similar,576
954,heart,575
955,worse,573
956,per,572
957,gross,572
958,lovely,570
959,road,569
960,third,568
961,noodle,567
962,kinda,567
963,forever,567
964,interior,565
965,tuesday,565
966,elsewhere,563
967,doughy,563
968,surprise,563
969,pop,561
970,banana,561
971,bun,560
972,pleased,559
973,owned,558
974,bag,558
975,spent,556
976,polite,555
977,included,553
978,disappoint,553
979,notch,551
980,undercooked,549
981,alone,548
982,bathroom,548
983,mess,548
984,cooking,547
985,flat,539
986,lover,539
987,tiramisu,539
988,west,538
989,brew,538
990,yeah,537
991,sent,536
992,calling,536
993,blue,534
994,smaller,532
995,nicely,531
996,hidden,531
997,known,530
998,double,530
999,upstairs,530
1000,welcoming,529
1001,request,529
1002,environment,528
1003,buffet,527
1004,youd,526
1005,seasoning,524
1006,overly,524
1007,porch,523
1008,brewery,523
1009,fire,520
1010,hoping,519
1011,wrap,518
1012,diner,518
1013,brown,518
1014,leaving,516
1015,paper,515
1016,consistent,515
1017,mentioned,515
1018,lobster,514
1019,brother,513
1020,play,513
1021,running,512
1022,prompt,512
1023,north,510
1024,lacking,508
1025,panini,507
1026,using,504
1027,anymore,503
1028,daily,503
1029,face,499
1030,happen,498
1031,continue,498
1032,bunch,496
1033,concept,496
1034,thursday,495
1035,parent,494
1036,lakewood,493
1037,mood,492
1038,answered,491
1039,company,490
1040,somewhat,489
1041,whats,489
1042,yesterday,488
1043,la,488
1044,youve,488
1045,hang,487
1046,damn,487
1047,disappointment,485
1048,combo,485
1049,difficult,484
1050,satisfied,484
1051,melted,483
1052,recent,483
1053,consider,482
1054,sport,482
1055,chair,478
1056,affordable,478
1057,tough,478
1058,raw,476
1059,round,476
1060,become,476
1061,likely,475
1062,dozen,475
1063,pas,472
1064,meet,471
1065,pleasantly,471
1066,positive,470
1067,cider,469
1068,larger,469
1069,odd,468
1070,comment,468
1071,opted,468
1072,hair,467
1073,student,467
1074,possible,465
1075,ten,465
1076,sprout,465
1077,hung,465
1078,goat,464
1079,fill,464
1080,lol,463
1081,move,463
1082,actual,462
1083,clear,462
1084,higher,462
1085,philly,461
1086,met,461
1087,inch,461
1088,hadnt,459
1089,decide,458
1090,opening,457
1091,complete,457
1092,zucchini,456
1093,typically,456
1094,watching,455
1095,shame,454
1096,seeing,451
1097,explained,450
1098,exceptional,449
1099,burgh,448
1100,imagine,447
1101,pulled,447
1102,wed,447
1103,heat,446
1104,picky,445
1105,generally,445
1106,greek,445
1107,suck,445
1108,tea,444
1109,doubt,444
1110,convenient,443
1111,welcome,442
1112,feed,442
1113,grew,442
1114,suggestion,442
1115,efficient,441
1116,situation,441
1117,feta,440
1118,balsamic,440
1119,weather,440
1120,zero,440
1121,broccoli,440
1122,rock,440
1123,rush,440
1124,morning,438
1125,willing,437
1126,member,437
1127,overcooked,437
1128,sell,436
1129,step,436
1130,treated,435
1131,support,435
1132,wide,434
1133,sister,434
1134,whenever,434
1135,six,433
1136,meh,433
1137,mall,432
1138,chunk,432
1139,receive,432
1140,absolute,430
1141,rich,429
1142,disgusting,428
1143,fault,428
1144,american,428
1145,block,427
1146,straight,427
1147,gourmet,426
1148,board,426
1149,bother,425
1150,sized,425
1151,moving,425
1152,goodness,424
1153,market,424
1154,bjs,423
1155,toasted,423
1156,figured,422
1157,wednesday,422
1158,ham,422
1159,break,420
1160,knowledgeable,420
1161,tossed,419
1162,difference,419
1163,ale,418
1164,popular,418
1165,bought,418
1166,honest,418
1167,standing,418
1168,checking,417
1169,ridiculous,416
1170,napkin,416
1171,realized,415
1172,surprisingly,414
1173,apps,414
1174,turkey,412
1175,reading,411
1176,ring,410
