,Word
0,awkwardly
1,bored
2,boring
3,chaotic
4,delay
5,delayed
6,depressing
7,dirt
8,disorganized
9,distracted
10,embarrassing
11,hesitation
12,ignore
13,ignoring
14,inconvenience
15,inconvenient
16,insult
17,insulting
18,lazy
19,outrageous
20,petty
21,rude
22,rudely
23,rudeness
24,rudest
25,shitty
26,shy
27,sick
28,snob
29,starving
30,stingy
31,uncomfortable
32,unhealthy
33,unprofessional
34,worn
